round,season,date,home,team,xg,goals,goals_against,xg_against,opponent,attendance,venue,ref
25,1920,2020-03-07,1,Wolfsburg,0.8,0,0,1.2,RB Leipzig,27195,Volkswagen Arena,Daniel Schlager
25,1920,2020-03-07,1,Hertha BSC,1.1,2,2,0.9,Werder Bremen,58028,Olympiastadion Berlin,Guido Winkmann
25,1920,2020-03-07,1,Schalke 04,0.8,1,1,0.6,Hoffenheim,58324,Veltins-Arena,Sven Jablonski
25,1920,2020-03-07,1,Freiburg,0.8,3,1,0.6,Union Berlin,24000,Schwarzwald-Stadion,Marco Fritz
25,1920,2020-03-07,1,Leverkusen,2.3,4,0,0.8,Eint Frankfurt,30210,BayArena,Felix Brych
25,1920,2020-03-07,1,M'Gladbach,2,1,2,0.7,Dortmund,53877,Stadion im Borussia-Park,Sascha Stegemann
25,1920,2020-03-08,1,Bayern Munich,2.9,2,0,0.7,Augsburg,75000,Allianz Arena,Bibiana Steinhaus
25,1920,2020-03-08,1,Mainz 05,0.8,1,1,1.9,Düsseldorf,21409,Opel Arena,Harm Osmers
21,1920,2020-03-11,1,M'Gladbach,0.9,2,1,0.8,Köln,0,Stadion im Borussia-Park,Deniz Aytekin
26,1920,2020-05-16,1,Dortmund,1.6,4,0,0.5,Schalke 04,0,Signal Iduna Park,Deniz Aytekin
26,1920,2020-05-16,1,Hoffenheim,2.5,0,3,1.5,Hertha BSC,0,PreZero Arena,Christian Dingert
26,1920,2020-05-16,1,Augsburg,1.1,1,2,1.5,Wolfsburg,0,WWK Arena,Felix Brych
26,1920,2020-05-16,1,RB Leipzig,2.1,1,1,0.3,Freiburg,0,Red Bull Arena,Manuel Gräfe
26,1920,2020-05-16,1,Düsseldorf,0.7,0,0,0.7,Paderborn 07,0,Merkur Spielarena,Frank Willenborg
26,1920,2020-05-16,1,Eint Frankfurt,1,1,3,3.2,M'Gladbach,0,Commerzbank-Arena,Felix Zwayer
26,1920,2020-05-17,1,Köln,2.3,2,2,1.9,Mainz 05,0,RheinEnergieSTADION,Guido Winkmann
26,1920,2020-05-17,1,Union Berlin,0.5,0,2,1.5,Bayern Munich,0,Stadion An der Alten Försterei,Bastian Dankert
26,1920,2020-05-18,1,Werder Bremen,1.2,1,4,1.7,Leverkusen,0,Weserstadion,Tobias Stieler
27,1920,2020-05-22,1,Hertha BSC,1.6,4,0,0.2,Union Berlin,0,Olympiastadion Berlin,Harm Osmers
27,1920,2020-05-23,1,Wolfsburg,0.4,0,2,0.9,Dortmund,0,Volkswagen Arena,Daniel Siebert
27,1920,2020-05-23,1,M'Gladbach,1.6,1,3,2.9,Leverkusen,0,Stadion im Borussia-Park,Sören Storks
27,1920,2020-05-23,1,Freiburg,0.7,0,1,0.8,Werder Bremen,0,Schwarzwald-Stadion,Robert Hartmann
27,1920,2020-05-23,1,Paderborn 07,0.7,1,1,1.7,Hoffenheim,0,Benteler-Arena,Bibiana Steinhaus
27,1920,2020-05-23,1,Bayern Munich,2.7,5,2,1,Eint Frankfurt,0,Allianz Arena,Marco Fritz
27,1920,2020-05-24,1,Schalke 04,0.6,0,3,1.3,Augsburg,0,Veltins-Arena,Sascha Stegemann
27,1920,2020-05-24,1,Mainz 05,0.3,0,5,5.2,RB Leipzig,0,Opel Arena,Markus Schmidt
27,1920,2020-05-24,1,Köln,1.4,2,2,0.7,Düsseldorf,0,RheinEnergieSTADION,Benjamin Cortus
28,1920,2020-05-26,1,Dortmund,0.9,0,1,0.8,Bayern Munich,0,Signal Iduna Park,Tobias Stieler
28,1920,2020-05-26,1,Werder Bremen,0.8,0,0,0.5,M'Gladbach,0,Weserstadion,Manuel Gräfe
28,1920,2020-05-26,1,Leverkusen,1,1,4,2.4,Wolfsburg,0,BayArena,Daniel Schlager
28,1920,2020-05-26,1,Eint Frankfurt,4.8,3,3,0.9,Freiburg,0,Commerzbank-Arena,Martin Petersen
28,1920,2020-05-27,1,RB Leipzig,0.7,2,2,1.6,Hertha BSC,0,Red Bull Arena,Bastian Dankert
28,1920,2020-05-27,1,Augsburg,0.7,0,0,1.7,Paderborn 07,0,WWK Arena,Deniz Aytekin
28,1920,2020-05-27,1,Hoffenheim,1.3,3,1,2.2,Köln,0,PreZero Arena,Felix Brych
28,1920,2020-05-27,1,Union Berlin,0.4,1,1,1,Mainz 05,0,Stadion An der Alten Försterei,Robert Schröder
28,1920,2020-05-27,1,Düsseldorf,1.9,2,1,0.6,Schalke 04,0,Merkur Spielarena,Tobias Welz
29,1920,2020-05-29,1,Freiburg,0.9,0,1,0.6,Leverkusen,0,Schwarzwald-Stadion,Marco Fritz
29,1920,2020-05-30,1,Wolfsburg,1.6,1,2,1.6,Eint Frankfurt,0,Volkswagen Arena,Guido Winkmann
29,1920,2020-05-30,1,Schalke 04,0.7,0,1,0.5,Werder Bremen,0,Veltins-Arena,Felix Zwayer
29,1920,2020-05-30,1,Mainz 05,0.9,0,1,1.7,Hoffenheim,0,Opel Arena,Sascha Stegemann
29,1920,2020-05-30,1,Hertha BSC,2.1,2,0,0.6,Augsburg,0,Olympiastadion Berlin,Sven Jablonski
29,1920,2020-05-30,1,Bayern Munich,3,5,0,0.8,Düsseldorf,0,Allianz Arena,Robert Hartmann
29,1920,2020-05-31,1,M'Gladbach,2.2,4,1,0.9,Union Berlin,0,Stadion im Borussia-Park,Frank Willenborg
29,1920,2020-05-31,1,Paderborn 07,1,1,6,3.8,Dortmund,0,Benteler-Arena,Daniel Siebert
