Match,Competition,Date,Aerial Duels,Duels Won,Conceded goals,xCG,Shots against,Total Saves,Reflex Saves,Total Exits,Accurate Exits,Claims,Punches,Total Passes to GK,Accurate Passes,Ball distributions
Borussia Dortmund - Sunderland 1:1,World. Club Friendlies,2016-08-05,0,0,0,0.05,1,1,1,0,0,0,0,0,0,1
Borussia Dortmund - Manchester City 1:1 (E),World. International Champions Cup,2016-07-28,0,0,1,1.2,3,2,0,1,0,0,0,0,0,9
Switzerland - Moldova 2:1,World. Friendlies,2016-06-03,0,0,1,0.14,2,1,0,1,0,1,0,0,0,8
Bayern München - Borussia Dortmund (P) 0:0,Germany. DFB Pokal,2016-05-21,1,1,0,0.09,4,4,1,1,0,0,0,0,0,15
Borussia Dortmund - Köln 2:2,Germany. Bundesliga,2016-05-14,0,0,2,1.07,5,3,2,0,0,0,0,0,0,2
Eintracht Frankfurt - Borussia Dortmund 1:0,Germany. Bundesliga,2016-05-07,0,0,1,1.75,4,3,1,0,0,0,0,0,0,3
Borussia Dortmund - Wolfsburg 5:1,Germany. Bundesliga,2016-04-30,1,1,1,0.63,4,3,1,2,0,2,0,0,0,1
Stuttgart - Borussia Dortmund 0:3,Germany. Bundesliga,2016-04-23,0,0,0,0.1,1,1,1,2,0,1,0,0,0,4
Hertha BSC - Borussia Dortmund 0:3,Germany. DFB Pokal,2016-04-20,0,0,0,0.6,1,1,1,1,0,1,0,0,0,3
Borussia Dortmund - Hamburger SV 3:0,Germany. Bundesliga,2016-04-17,0,0,0,0.04,1,1,0,0,0,0,0,0,0,5
Schalke 04 - Borussia Dortmund 2:2,Germany. Bundesliga,2016-04-10,0,0,2,1.31,2,0,0,0,0,0,0,0,0,12
Borussia Dortmund - Werder Bremen 3:2,Germany. Bundesliga,2016-04-02,1,1,2,1.51,4,2,1,4,0,1,1,0,0,4
Augsburg - Borussia Dortmund 1:3,Germany. Bundesliga,2016-03-20,0,0,1,0.95,4,3,1,0,0,0,0,0,0,1
