player_id,player,position,team,league,age,year_of_birth,mins_90s,touches,touches_def_pen,touches_def_third,touches_mid_third,touches_att_third,touches_att_pen,touches_live,touches_success,dribbles_att,dribbles_percent,dribbles_player_count,dribbles_megs,dribbles_carries,carries_total_dist,carries_prog_dist,pass_targets,pass_receptions,pass_reception_percent,miscontrols,dispossessed
10316,Adam Bodzek,MF,Düsseldorf,Bundesliga,33,1985,22.4,899,75,317,500,108,13,880,4,6,66.7,4,0,481,1846,841,529,479,90.5,10,12
10317,Jean-Paul Boëtius,MF,Mainz 05,Bundesliga,25,1994,25.2,1288,19,194,740,454,54,1260,43,66,65.2,46,0,937,5845,3355,1037,830,80,62,53
10318,Sacha Boey,DF,Rennes,Ligue 1,18,2000,1.9,103,5,31,49,26,5,92,1,1,100,1,0,57,305,171,69,61,88.4,3,0
10319,Jeremie Boga,FW,Sassuolo,Serie A,22,1997,27.9,1381,10,168,595,796,176,1372,141,222,63.5,152,10,1287,11730,8046,1437,1147,79.8,56,65
10320,Melayro Bogarde,DF,Hoffenheim,Bundesliga,17,2002,0.6,45,5,19,22,6,0,44,0,0,,0,0,28,58,25,40,35,87.5,0,1
10321,Quentin Boisgard,MFFW,Toulouse,Ligue 1,22,1997,12.7,691,14,155,372,223,23,650,42,54,77.8,43,0,508,3216,1990,533,422,79.2,39,31
10322,Willy Boly,DF,Wolves,Premier League,28,1991,22,1235,148,653,602,47,19,1218,10,12,83.3,10,0,677,3167,1435,747,717,96,4,7
10323,Giacomo Bonaventura,MFFW,Milan,Serie A,29,1989,14.9,887,16,96,431,427,62,862,27,38,71.1,29,1,686,4004,2004,826,698,84.5,33,21
10324,Federico Bonazzoli,FWMF,Sampdoria,Serie A,22,1997,8.3,341,2,28,154,192,39,330,10,18,55.6,10,0,247,1659,866,408,260,63.7,21,15
10325,Gaëtan Bong,MFDF,Brighton,Premier League,31,1988,0.7,44,0,4,18,23,3,41,0,1,0,0,0,34,149,84,44,35,79.5,2,2
10326,Kevin Bonifazi,DF,Torino,Serie A,23,1996,2.7,124,29,87,33,6,2,122,1,1,100,1,0,63,383,175,64,62,96.9,1,1
10327,Kevin Bonifazi,DF,SPAL,Serie A,23,1996,13.2,803,175,484,332,34,6,779,13,15,86.7,13,0,493,3036,1622,501,498,99.4,2,6
10328,Federico Bonini,DF,Bologna,Serie A,17,2001,0.1,5,0,3,2,0,0,5,0,0,,0,0,5,24,18,4,4,100,0,0
10329,Leonardo Bonucci,DF,Juventus,Serie A,32,1987,34.2,2365,316,1060,1366,80,21,2283,4,6,66.7,5,0,1535,8168,4821,1804,1768,98,7,2
10330,Fabio Borini,FWMF,Hellas Verona,Serie A,28,1991,9,391,10,51,163,207,50,374,10,17,58.8,12,1,251,1915,1195,387,270,69.8,11,16
10331,Fabio Borini,MFFW,Milan,Serie A,28,1991,0.8,35,3,3,18,16,3,35,1,1,100,1,0,24,148,79,24,21,87.5,1,2
10332,Dennis Borkowski,FW,RB Leipzig,Bundesliga,17,2002,0.1,5,0,0,4,1,0,5,2,4,50,2,0,7,56,53,6,4,66.7,0,1
10333,Robin Bormuth,DF,Düsseldorf,Bundesliga,23,1995,2,97,27,73,26,4,2,94,0,0,,0,0,44,294,216,53,53,100,1,0
10334,Sebastiaan Bornauw,DF,Köln,Bundesliga,20,1999,27.2,1496,222,928,612,54,24,1467,7,11,63.6,7,0,939,5580,2717,988,962,97.4,5,6
10335,Brandon Borrello,MFFW,Freiburg,Bundesliga,24,1995,3.3,149,3,25,79,60,9,147,6,15,40,8,0,115,740,339,133,96,72.2,18,13
10336,Gabriel Boschilia,MFFW,Monaco,Ligue 1,23,1996,1.4,95,1,12,46,41,6,88,3,3,100,3,0,72,480,232,85,70,82.4,5,0
10337,Denis Bouanga,FWDF,Saint-Étienne,Ligue 1,24,1994,22.7,1029,24,153,499,471,114,962,64,120,53.3,73,4,748,6073,3860,1015,680,67,71,78
10338,Hicham Boudaoui,MFFW,Nice,Ligue 1,19,1999,5.4,277,9,63,114,121,17,275,9,16,56.3,11,0,200,1340,819,242,191,78.9,11,10
10339,Ryad Boudebouz,MFFW,Saint-Étienne,Ligue 1,29,1990,17.7,1141,5,104,652,463,22,1023,32,48,66.7,33,3,801,4570,2292,1006,825,82,29,42
10340,Sofiane Boufal,MFFW,Southampton,Premier League,25,1993,8.5,515,6,53,203,322,53,507,54,96,56.3,61,3,447,3843,2491,468,382,81.6,21,41
10341,Nassim Boujellab,MFFW,Schalke 04,Bundesliga,20,1999,4.7,205,6,49,110,56,13,201,2,6,33.3,4,0,123,714,296,163,125,76.7,7,5
