player,position,league,squad,age
Jeison Murillo,DF,La Liga,Celta Vigo,28
Yunus Musah,MF,La Liga,Valencia,18
Yoshinori Mutō,FW,La Liga,Eibar,28
Nacho,DF,La Liga,Real Madrid,31
Nacho,DF,La Liga,Valladolid,31
Nano,FW,La Liga,Cádiz,26
Roberto Navarro,MF,La Liga,Real Sociedad,18
Ximo Navarro,DF,La Liga,Alavés,31
Jesús Navas,DF,La Liga,Sevilla,35
Raúl Navas,DF,La Liga,Osasuna,32
Álvaro Negredo,FW,La Liga,Cádiz,35
Neto,GK,La Liga,Barcelona,31
Carlos Neva,DF,La Liga,Granada,24
Mamor Niang,FW,La Liga,Getafe,19
Manuel Nieto,FW,La Liga,Cádiz,22
Saúl Ñíguez,MF,La Liga,Atlético Madrid,26
Nino,MF,La Liga,Elche,40
Fernando Niño,FW,La Liga,Villarreal,20
Nolito,MF,La Liga,Celta Vigo,34
Unai Núñez,DF,La Liga,Athletic Club,24
Kelechi Nwakali,MF,La Liga,Huesca,22
Allan Nyom,MF,La Liga,Getafe,32
Jan Oblak,GK,La Liga,Atlético Madrid,28
Lucas Ocampos,FW,La Liga,Sevilla,26
Álvaro Odriozola,DF,La Liga,Real Madrid,25
Shinji Okazaki,FW,La Liga,Huesca,34
Lucas Olaza,DF,La Liga,Celta Vigo,26
Lucas Olaza,DF,La Liga,Valladolid,26
Christian Oliva,MF,La Liga,Valencia,24
Paulo Oliveira,DF,La Liga,Eibar,29
Mathías Olivera,DF,La Liga,Getafe,23
Javier Ontiveros,FW,La Liga,Huesca,23
Fabián Orellana,MF,La Liga,Valladolid,35
Mikel Oyarzabal,FW,La Liga,Real Sociedad,23
Fernando Pacheco,GK,La Liga,Alavés,28
Ante Palaversa,MF,La Liga,Getafe,20
Daniel Parejo,MF,La Liga,Villarreal,31
Marvin Olawale Akinlabi Park,DF,La Liga,Real Madrid,20
Thomas Partey,MF,La Liga,Atlético Madrid,27
John Patrick,MF,La Liga,Getafe,17
Gabriel Paulista,DF,La Liga,Valencia,30
Alfonso Pedraza,DF,La Liga,Villarreal,24
Pedri,MF,La Liga,Barcelona,18
Facundo Pellistri,MF,La Liga,Alavés,19
Rubén Peña,DF,La Liga,Villarreal,29
Alberto Perea,MF,La Liga,Cádiz,30
Iñigo Pérez,MF,La Liga,Osasuna,33
Kike Pérez,MF,La Liga,Valladolid,24
Lucas Pérez,FW,La Liga,Alavés,32
Luis Pérez,DF,La Liga,Valladolid,26
Nehuén Pérez,DF,La Liga,Granada,20
Tomás Pina Isla,MF,La Liga,Alavés,33
Yeremi Pino,FW,La Liga,Villarreal,18
Gerard Piqué,DF,La Liga,Barcelona,34
Miralem Pjanić,MF,La Liga,Barcelona,30
Óscar Plano,MF,La Liga,Valladolid,30
Dani Plomer,FW,La Liga,Granada,22
Jorge Pombo,FW,La Liga,Cádiz,27
Pere Pons,MF,La Liga,Alavés,28
Francisco Portillo,MF,La Liga,Getafe,30
Portu,FW,La Liga,Real Sociedad,28
Sergio Postigo,DF,La Liga,Levante,32
Alejandro Pozo Pozo,DF,La Liga,Eibar,22
Antonio Puertas,FW,La Liga,Granada,29
Riqui Puig,MF,La Liga,Barcelona,21
Jorge Pulido,DF,La Liga,Huesca,29
Domingos Quina,MF,La Liga,Granada,21
Quini,DF,La Liga,Granada,31
Quique,FW,La Liga,Eibar,30
Dani Raba,MF,La Liga,Villarreal,25
Uroš Račić,MF,La Liga,Valencia,22
Nemanja Radoja,MF,La Liga,Levante,28
Ivan Rakitić,MF,La Liga,Sevilla,32
Sandro Ramírez,FW,La Liga,Huesca,25
Sergio Ramos,DF,La Liga,Real Madrid,34
Recio,MF,La Liga,Eibar,30
Francisco Reis Ferreira,DF,La Liga,Valencia,23
Karim Rekik,DF,La Liga,Sevilla,26
Álex Remiro,GK,La Liga,Real Sociedad,25
Oriol Rey,MF,La Liga,Valladolid,23
Mikel Rico,MF,La Liga,Huesca,36
Emiliano Rigoni,MF,La Liga,Elche,28
Luis Rioja,MF,La Liga,Alavés,27
Rober,DF,La Liga,Levante,26
Roberto,GK,La Liga,Valladolid,35
Sergi Roberto,DF,La Liga,Barcelona,29
Joel Robles,GK,La Liga,Betis,30
Rubén Rochina,MF,La Liga,Levante,29
Rodrigo,FW,La Liga,Betis,20
Kévin Rodrigues,DF,La Liga,Eibar,26
Óscar Rodríguez Arnaiz,MF,La Liga,Sevilla,22
Ángel Rodríguez,FW,La Liga,Getafe,33
Guido Rodríguez,MF,La Liga,Betis,26
Miguel Rodríguez,FW,La Liga,Celta Vigo,17
Víctor Rodríguez,MF,La Liga,Elche,31
Rodrygo,FW,La Liga,Real Madrid,20
Facundo Roncaglia,DF,La Liga,Osasuna,34
Rubén,GK,La Liga,Osasuna,36
Waldo Rubio,FW,La Liga,Valladolid,25
Aitor Ruibal,FW,La Liga,Betis,24
Ismael Ruiz,MF,La Liga,Granada,20
Víctor Ruiz,DF,La Liga,Betis,32
Modibo Sagnan,DF,La Liga,Real Sociedad,21
Borja Sainz,MF,La Liga,Alavés,20
Salvi,MF,La Liga,Cádiz,29
Fede San Emeterio,MF,La Liga,Valladolid,23
Antonio Sanabria,FW,La Liga,Betis,24
Oihan Sancet,MF,La Liga,Athletic Club,20
Juan Sánchez Miño,DF,La Liga,Elche,31
Germán Sánchez,DF,La Liga,Granada,34
Javi Sánchez,DF,La Liga,Valladolid,23
José Sánchez,DF,La Liga,Granada,21
Manuel Sánchez,DF,La Liga,Osasuna,20
Manuel Sánchez,DF,La Liga,Atlético Madrid,20
Ricard Sánchez,DF,La Liga,Atlético Madrid,21
Oier Sanjurjo,MF,La Liga,Osasuna,34
Ivan Šaponjić,FW,La Liga,Cádiz,23
Stefan Savić,DF,La Liga,Atlético Madrid,30
Jaime Seoane,MF,La Liga,Huesca,24
Edgar Sevikyan,MF,La Liga,Levante,19
Sidnei,DF,La Liga,Betis,31
David Silva,MF,La Liga,Real Sociedad,35
Gastón Silva,DF,La Liga,Huesca,26
Rui Silva,GK,La Liga,Granada,27
Unai Simón,GK,La Liga,Athletic Club,23
Dimitris Siovas,DF,La Liga,Huesca,32
Rafa Soares,DF,La Liga,Eibar,25
Rubén Sobrino,FW,La Liga,Cádiz,28
Rubén Sobrino,MF,La Liga,Valencia,28
Augusto Solari,MF,La Liga,Celta Vigo,29
Roberto Soldado,FW,La Liga,Granada,35
Carlos Soler,MF,La Liga,Valencia,24
Son,DF,La Liga,Levante,26
David Soria,GK,La Liga,Getafe,27
Alberto Soro,FW,La Liga,Granada,21
Damián Suárez,DF,La Liga,Getafe,32
Denis Suárez,MF,La Liga,Celta Vigo,27
Luis Suárez,FW,La Liga,Atlético Madrid,34
Suso,FW,La Liga,Sevilla,27
Tachi,DF,La Liga,Alavés,23
Renato Tapia,MF,La Liga,Celta Vigo,25
Tomás Tavares,MF,La Liga,Alavés,19
Álvaro Tejero,DF,La Liga,Eibar,24
Cristian Tello,FW,La Liga,Betis,29
Marc-André ter Stegen,GK,La Liga,Barcelona,28
David Timor,MF,La Liga,Getafe,31
Toño,DF,La Liga,Levante,31
Lucas Torreira,MF,La Liga,Atlético Madrid,25
Óliver Torres,MF,La Liga,Sevilla,26
Pau Torres,DF,La Liga,Villarreal,24
Roberto Torres,MF,La Liga,Osasuna,31
Lucas Torró,MF,La Liga,Osasuna,26
Manu Trigueros,MF,La Liga,Villarreal,29
Francisco Trincão,FW,La Liga,Barcelona,21
Kieran Trippier,DF,La Liga,Atlético Madrid,30
Samuel Umtiti,DF,La Liga,Barcelona,27
Enes Ünal,FW,La Liga,Getafe,23
Tomáš Vaclík,GK,La Liga,Sevilla,31
Eugeni Valderrama,FW,La Liga,Huesca,26
Jesús Vallejo,DF,La Liga,Granada,24
Manu Vallejo,FW,La Liga,Valencia,24
Federico Valverde,MF,La Liga,Real Madrid,22
Raphaël Varane,DF,La Liga,Real Madrid,27
Franco Vázquez,FW,La Liga,Sevilla,32
Lucas Vázquez,DF,La Liga,Real Madrid,29
Koke Vegas,GK,La Liga,Levante,25
Gabriel Veiga,MF,La Liga,Celta Vigo,18
Unai Vencedor Paris,MF,La Liga,Athletic Club,20
Gonzalo Verdú,DF,La Liga,Elche,32
Mikel Vesga,MF,La Liga,Athletic Club,27
Rúben Vezo,DF,La Liga,Levante,26
Iñigo Vicente,FW,La Liga,Athletic Club,23
Fede Vico,MF,La Liga,Granada,26
Aleix Vidal,DF,La Liga,Sevilla,31
Nacho Vidal,DF,La Liga,Osasuna,26
Toni Villa,MF,La Liga,Valladolid,26
Asier Villalibre,FW,La Liga,Athletic Club,23
Iván Villar,GK,La Liga,Celta Vigo,23
Vitolo,MF,La Liga,Atlético Madrid,31
Šime Vrsaljko,DF,La Liga,Atlético Madrid,29
Nikola Vukčević,MF,La Liga,Levante,29
Daniel Wass,MF,La Liga,Valencia,31
Shon Weissman,FW,La Liga,Valladolid,25
Iñaki Williams,FW,La Liga,Athletic Club,26
Jawad El Yamiq,DF,La Liga,Valladolid,29
Rubén Yáñez,GK,La Liga,Getafe,27
Yoel,GK,La Liga,Eibar,32
Okay Yokuşlu,MF,La Liga,Celta Vigo,26
Joseba Zaldúa,DF,La Liga,Real Sociedad,28
Oier Zarraga,MF,La Liga,Athletic Club,22
Igor Zubeldia,DF,La Liga,Real Sociedad,23
Martín Zubimendi,MF,La Liga,Real Sociedad,22
Martin Ødegaard,MF,La Liga,Real Madrid,22
